user_id,name,address,phone,wheelchair,notes,lat,lng
U001,佐藤 美咲,荒川区町屋1-8-14,03-7575-3604,FALSE,,35.732824,139.778652
U002,鈴木 由美,北区田端5-5-4,03-1564-8346,FALSE,,35.740045,139.762659
U003,高橋 健太,荒川区西尾久4-5-1,03-8973-5500,FALSE,認知症あり,35.748174,139.765381
U004,田中 大輔,荒川区南千住5-4-11,03-8844-6096,FALSE,認知症あり,35.729685,139.802638
U005,伊藤 久美子,荒川区西日暮里4-7-4,03-3047-5217,FALSE,認知症あり,35.730617,139.762725
U006,渡辺 勇,墨田区東向島3-3-9,03-8488-1229,TRUE,,35.733099,139.81968
U007,山本 幸子,荒川区東日暮里4-6-10,03-7573-5263,FALSE,2階まで介助必要,35.730423,139.768938
U008,中村 隆,荒川区西尾久3-20-14,03-3378-9311,FALSE,認知症あり,35.747665,139.761531
U009,小林 修,荒川区東尾久3-11-14,03-9700-7622,FALSE,,35.747818,139.772905
U010,加藤 良子,荒川区南千住1-2-11,03-9383-7484,FALSE,,35.73033,139.798314
U011,吉田 明子,荒川区南千住1-10-13,03-2522-5252,TRUE,,35.731448,139.800454
U012,山田 茂,台東区根岸5-8-9,03-9462-8027,FALSE,,35.722359,139.777335
U013,佐々木 実,荒川区荒川4-8-2,03-3160-6529,TRUE,認知症あり,35.736012,139.786476
U014,山口 秋子,荒川区東尾久1-17-11,03-8864-1090,FALSE,,35.748093,139.776183
U015,松本 夏子,荒川区町屋4-20-9,03-9634-7108,FALSE,2階まで介助必要,35.741035,139.786721
U016,井上 武,台東区根岸2-19-5,03-1168-7514,TRUE,玄関まで介助必要,35.722123,139.778924
U017,木村 昭,墨田区東向島5-20-11,03-2337-9544,FALSE,,35.731274,139.81595
U018,林 清,荒川区東尾久5-9-2,03-9365-9681,FALSE,,35.745908,139.774581
U019,斎藤 真理子,台東区根岸3-9-12,03-5920-7243,FALSE,,35.72818,139.778398
U020,清水 太郎,荒川区西尾久4-11-15,03-4080-6205,TRUE,認知症あり,35.740656,139.768819
U021,山崎 美咲,北区田端3-14-6,03-3553-5945,FALSE,玄関まで介助必要,35.737956,139.762593
U022,森 由美,足立区千住旭町4-16-10,03-9378-6771,FALSE,,35.745774,139.796722
U023,池田 恵子,北区田端4-12-12,03-3144-4958,FALSE,認知症あり,35.738205,139.765178
U024,橋本 大輔,台東区根岸4-18-8,03-4930-5696,TRUE,玄関まで介助必要,35.724515,139.775293
U025,阿部 久美子,荒川区南千住4-10-3,03-5536-7819,TRUE,玄関まで介助必要,35.730275,139.798717
U026,石川 勇,墨田区東向島3-15-8,03-4342-3233,TRUE,,35.726775,139.814182
U027,前田 誠,荒川区町屋3-8-2,03-1833-5137,FALSE,,35.731939,139.780752
U028,藤田 隆,台東区下谷2-10-15,03-2808-6912,FALSE,玄関まで介助必要,35.722318,139.78063
U029,後藤 京子,北区田端5-2-5,03-8044-6051,TRUE,,35.740548,139.757377
U030,長谷川 博,足立区千住1-19-9,03-3964-3726,TRUE,認知症あり,35.748486,139.809718
